(0, 149.2444305419922) 
(1, 151.24536538124084) 
(2, 153.88874673843384) 
(3, 154.37769436836243) 
(4, 155.27677845954895) 
(5, 165.71224164962769) 
(6, 163.66307163238525) 
(7, 167.73592448234558) 
(8, 161.07312679290771) 
(9, 165.02308464050293) 
(10, 28.018035411834717) 
(11, 28.100899934768677) 
(12, 29.62510871887207) 
(13, 27.78608202934265) 
(14, 26.6097309589386) 
(15, 133.35809683799744) 
(16, 136.59892416000366) 
(17, 134.39995956420898) 
(18, 132.3304307460785) 
(19, 136.2476830482483) 
(20, 28.077725410461426) 
(21, 28.281955003738403) 
(22, 28.904245376586914) 
(23, 28.99424171447754) 
(24, 29.145670652389526) 
